size,mpi_ranks,cores,mean_time,speedup,efficiency,overhead(s),overhead(%)
100.0,1.0,4.0,107.84028275,1.0,0.25,80.8802120625,74.99999999999999
100.0,2.0,8.0,340.56896274999997,0.3166474181300011,0.039580927266250135,327.08892740625,96.04190727337499
100.0,4.0,16.0,520.8177997500001,0.207059518322463,0.012941219895153937,514.0777820781251,98.70587801048461
100.0,8.0,32.0,589.774479,0.18285003266477387,0.0057140635207741835,586.4044701640626,99.42859364792258
100.0,16.0,64.0,545.62602675,0.19764504892177961,0.0030882038894028065,543.9410223320313,99.69117961105971
100.0,32.0,128.0,598.6252145,0.18014657608445928,0.001407395125659838,597.7827122910156,99.85926048743401
1000.0,1.0,4.0,778.1340375,1.0,0.25,583.600528125,75.0
1000.0,2.0,8.0,348.5170785,2.2326998747064266,0.2790874843383033,251.25032381250003,72.09125156616966
1000.0,4.0,16.0,584.06303475,1.3322774960977788,0.08326734350611117,535.42965740625,91.67326564938888
1000.0,8.0,32.0,631.4826429999999,1.2322334526936476,0.03850729539667649,607.1659543281249,96.14927046033235
1000.0,16.0,64.0,598.7587565,1.2995785515497509,0.020305914867964858,586.6004121640625,97.96940851320352
1000.0,32.0,128.0,606.3438277500001,1.283321445503079,0.010025948792992805,600.2646555820313,98.99740512070072
2000.0,1.0,4.0,1043.5282155,1.0,0.25,782.646161625,75.0
2000.0,2.0,8.0,1086.5065292499999,0.9604435752634941,0.12005544690793676,956.0655023124998,87.99445530920632
2000.0,4.0,16.0,889.9315555000001,1.1725937899951226,0.07328711187469517,824.71104203125,92.67128881253048
2000.0,8.0,32.0,708.6043139999999,1.4726529247463769,0.04602040389832428,675.994057265625,95.39795961016758
2000.0,16.0,64.0,629.10528225,1.6587497274984135,0.02591796449216271,612.8001538828124,97.40820355078372
2000.0,32.0,128.0,655.39771825,1.5922060551055328,0.012439109805511975,647.2451540664063,98.7560890194488
